band,day_type,start_time,start_hour,end_time,end_hour
1,Weekday,3:00 AM,3,3:59 AM,4
2,Weekday,4:00 AM,4,4:59 AM,5
3,Weekday,5:00 AM,5,5:59 AM,6
4,Weekday,6:00 AM,6,6:59 AM,7
5,Weekday,7:00 AM,7,7:59 AM,8
6,Weekday,8:00 AM,8,8:59 AM,9
7,Weekday,9:00 AM,9,9:59 AM,10
8,Weekday,10:00 AM,10,10:59 AM,11
9,Weekday,11:00 AM,11,11:59 AM,12
10,Weekday,12:00 PM,12,12:59 PM,13
11,Weekday,1:00 PM,13,1:59 PM,14
12,Weekday,2:00 PM,14,2:59 PM,15
13,Weekday,3:00 PM,15,3:59 PM,16
14,Weekday,4:00 PM,16,4:59 PM,17
15,Weekday,5:00 PM,17,5:59 PM,18
16,Weekday,6:00 PM,18,6:59 PM,19
17,Weekday,7:00 PM,19,7:59 PM,20
18,Weekday,8:00 PM,20,8:59 PM,21
19,Weekday,9:00 PM,21,9:59 PM,22
20,Weekday,10:00 PM,22,10:59 PM,23
21,Weekday,11:00 PM,23,11:59 PM,24
22,Weekday,12:00 AM,24,12:59 AM,25
23,Weekday,1:00 AM,25,1:59 AM,26
24,Weekday,2:00 AM,26,2:59 AM,27
25,Saturday,3:00 AM,3,10:59 AM,11
26,Saturday,11:00 AM,11,6:59 PM,19
27,Saturday,7:00 PM,19,2:59 AM,27
28,Sunday,3:00 AM,3,10:59 AM,11
29,Sunday,11:00 AM,11,6:59 PM,19
30,Sunday,7:00 PM,19,2:59 AM,27
